날짜,섹터그룹,비중
2026-08-10,가구,2.1450919376967543
2026-08-10,건설,5.535377683784653
2026-08-10,금융,8.896142706082479
2026-08-10,반도체,10.851285724310316
2026-08-10,서비스,2.206795089880925
2026-08-10,소비재,9.273862786707932
2026-08-10,식품,11.759894886865457
2026-08-10,에너지,2.591532391735165
2026-08-10,에너지기자재,2.076129591137976
2026-08-10,엔터,5.267997357653248
2026-08-10,용기포장,1.1856684145193566
2026-08-10,유통 물류,11.771025651573188
2026-08-10,의료바이오,7.517621694344362
2026-08-10,자동차부품,3.226711899513392
2026-08-10,전기전자부품,3.0875773406667326
2026-08-10,철강,1.6700986524515509
2026-08-10,항공,3.89818737916466
2026-08-10,해운,4.232110320396643
2026-08-10,화학섬유,2.8068884915152115
2026-08-11,가구,2.32206571796042
2026-08-11,건설,3.347612330415301
2026-08-11,금속가공,1.1785358669045347
2026-08-11,금융,6.69003858440858
2026-08-11,미분류,29.36097166327843
2026-08-11,소비재,5.149773887068
2026-08-11,식품,9.268555781437996
2026-08-11,에너지,1.8643944737169649
2026-08-11,에너지기자재,2.836783802846119
2026-08-11,엔터,5.323507447205742
2026-08-11,용기포장,1.2887399908725057
2026-08-11,유통 물류,9.201396091772809
2026-08-11,의료바이오,4.303146911172883
2026-08-11,자동차부품,1.0812969339916192
2026-08-11,전기전자부품,1.675102684313156
2026-08-11,전자부품,2.19111728830436
2026-08-11,지주(방산소재),1.9655229639463967
2026-08-11,지주(에너지),2.6241546695432105
2026-08-11,철강,1.8387233954279552
2026-08-11,패션의류,1.2506223291706426
2026-08-11,항공,1.3924615193129486
2026-08-11,해운,2.806963863419491
2026-08-11,화장품유통,1.0385118035099363
2026-08-12,건설,5.032803186144271
2026-08-12,금융,6.671121095579068
2026-08-12,미분류,8.067952839172317
2026-08-12,반도체,2.7305298490579935
2026-08-12,소비재,8.80714251892694
2026-08-12,식품,11.863599774823358
2026-08-12,에너지,11.537672367984932
2026-08-12,엔터,3.6104549304740807
2026-08-12,용기포장,2.085514512845065
2026-08-12,유통 물류,12.185581329278751
2026-08-12,의료바이오,13.643442256396227
2026-08-12,전기전자,5.671505158544349
2026-08-12,철강,2.596370868034913
2026-08-12,패션의류,1.2558332851062486
2026-08-12,항공,1.4126151531253783
2026-08-12,해운,2.8278608745061105
