종목명,종목코드,섹터,수량,평단가,현재가,등락률,업데이트시각
CJ제일제당,097950,식품,1.0,204500.0,186900.0,-0.59,08/12 11:54
한국단자,025540,전기전자부품,2.0,63400.0,63700.0,-1.39,08/12 11:54
JW생명과학,234080,제약바이오,3.0,11290.0,11570.0,-1.45,08/12 11:54
카카오뱅크,323410,금융,3.0,21750.0,22000.0,-0.9,08/12 11:54
우리금융지주,316140,금융,2.0,33250.0,33350.0,-1.33,08/12 11:54
한일시멘트,300720,건자재,4.0,14770.0,14730.0,-1.14,08/12 11:54
미스토홀딩스,081660,유통,2.0,43984.0,43150.0,-1.26,08/12 11:54
GS리테일,007070,유통,3.0,27350.0,27200.0,-1.27,08/12 11:54
HK이노엔,195940,제약바이오,1.0,41750.0,41600.0,-1.54,08/12 11:54
성광벤드,014620,에너지기자재,4.0,27019.0,27000.0,-1.28,08/12 11:54
CJ대한통운,000120,물류,1.0,76700.0,74500.0,-3.75,08/12 11:54
오스테오닉,226400,의료기기,10.0,4950.0,4840.0,-3.59,08/12 11:54
아이센스,099190,의료기기,3.0,18350.0,18350.0,-4.13,08/12 11:54
한국가스공사,036460,에너지,3.0,35361.333333333336,36450.0,1.39,08/12 11:54
삼립,005610,식품,3.0,40367.0,40500.0,-1.7,08/12 11:54
HMM,011200,해운,5.0,21350.0,21500.0,-0.69,08/12 11:54
신세계인터내셔날,031430,유통,13.0,11234.692307692309,10800.0,0.56,08/12 11:54
JYP Ent.,035900,엔터테인먼트,3.0,47400.0,45700.0,-1.83,08/12 11:54
현대리바트,079430,가구,15.0,5890.0,5980.0,0.17,08/12 11:54
영원무역,111770,섬유의류,1.0,89500.0,86800.0,-4.3,08/12 11:54
메리츠금융지주,138040,금융,1.0,122600.0,120300.0,-2.83,08/12 11:54
삼양패키징,272550,용기포장,8.0,9826.25,9910.0,-0.3,08/12 11:54
동국제강,460860,철강,10.0,9831.0,9820.0,-3.06,08/12 11:54
유한양행,000100,제약바이오,1.0,86900.0,83600.0,-2.34,08/12 11:54
DL,000210,지주(에너지),2.0,50400.0,50400.0,-0.4,08/12 11:54
삼화콘덴서,001820,전자부품,1.0,87200.0,89000.0,5.33,08/12 11:54
사조대림,003960,식품,3.0,32750.0,32100.0,-2.13,08/12 11:54
SGC에너지,005090,에너지,2.0,57550.0,59400.0,5.69,08/12 11:54
GS건설,006360,건설,2.0,34200.0,34650.0,-0.29,08/12 11:54
서흥,008490,제약바이오,4.0,29337.25,27550.0,-3.84,08/12 11:54
율촌화학,008730,제지,5.0,14990.0,14800.0,-0.47,08/12 11:54
한샘,009240,가구,2.0,42300.0,41200.0,-2.6,08/12 11:54
계룡건설,013580,건설,3.0,21200.0,21400.0,2.15,08/12 11:54
해태제과식품,101530,식품,8.0,5710.0,5670.0,-1.05,08/12 11:54
이마트,139480,유통,1.0,80800.0,79900.0,-0.87,08/12 11:54
종근당,185750,제약바이오,2.0,71600.0,69800.0,-1.83,08/12 11:54
심텍,222800,반도체장비,1.0,123100.0,104100.0,-8.6,08/12 11:54
진에어,272450,항공,10.0,5370.0,5360.0,-0.19,08/12 11:54
더네이쳐홀딩스,298540,패션의류,7.0,6870.0,6820.0,-1.02,08/12 11:54
삼성중공업,010140,미분류,4.0,22050.0,21950.0,0.69,08/12 11:54
NAVER,035420,미분류,1.0,218500.0,218250.0,1.99,08/12 11:54
